Elapsed Time (ms), RR (ms), Heart Rate (bpm)
502583,423,141.7
502987,403,148.8
503400,413,145.2
503830,430,139.5
504267,437,137.4
504683,417,144
505083,400,150
505480,397,151.3
505867,387,155.2
506257,390,153.8
506650,393,152.5
507037,387,155.2
507427,390,153.8
507823,397,151.3
508237,413,145.2
508727,490,122.4
509207,480,125
509670,463,129.5
510167,497,120.8
510643,477,125.9
511133,490,122.4
511640,507,118.4
512177,537,111.8
512653,477,125.9
513140,487,123.3
513603,463,129.5
514040,437,137.4
514473,433,138.5
514917,443,135.3
515343,427,140.6
515757,413,145.2
516190,433,138.5
516613,423,141.7
517043,430,139.5
517483,440,136.4
517893,410,146.3
518303,410,146.3
518710,407,147.5
519127,417,144
519543,417,144
519957,413,145.2
520363,407,147.5
520770,407,147.5
521193,423,141.7
521623,430,139.5
522037,413,145.2
522447,410,146.3
522853,407,147.5
523253,400,150
523667,413,145.2
524073,407,147.5
524507,433,138.5
524920,413,145.2
525330,410,146.3
525733,403,148.8
526137,403,148.8
526537,400,150
526933,397,151.3
527330,397,151.3
527723,393,152.5
528107,383,156.5
528487,380,157.9
528873,387,155.2
529260,387,155.2
529660,400,150
530053,393,152.5
530457,403,148.8
530880,423,141.7
531310,430,139.5
531733,423,141.7
532147,413,145.2
532553,407,147.5
532957,403,148.8
533373,417,144
533793,420,142.9
534207,413,145.2
534647,440,136.4
535080,433,138.5
535530,450,133.3
535963,433,138.5
536400,437,137.4
536847,447,134.3
537277,430,139.5
537700,423,141.7
538123,423,141.7
538533,410,146.3
538937,403,148.8
539347,410,146.3
539753,407,147.5
540180,427,140.6
540600,420,142.9
541027,427,140.6
541450,423,141.7
541873,423,141.7
542310,437,137.4
542733,423,141.7
543187,453,132.4
543627,440,136.4
544093,467,128.6
544553,460,130.4
545007,453,132.4
545453,447,134.3
545903,450,133.3
546353,450,133.3
546763,410,146.3
547173,410,146.3
547583,410,146.3
547987,403,148.8
548383,397,151.3
548780,397,151.3
549173,393,152.5
549570,397,151.3
549957,387,155.2
550347,390,153.8
550730,383,156.5
551120,390,153.8
551520,400,150
551930,410,146.3
552367,437,137.4
552783,417,144
553200,417,144
553647,447,134.3
554093,447,134.3
554510,417,144
554933,423,141.7
555343,410,146.3
555767,423,141.7
556180,413,145.2
556587,407,147.5
556993,407,147.5
557393,400,150
557800,407,147.5
558197,397,151.3
558583,387,155.2
558973,390,153.8
559360,387,155.2
559753,393,152.5
560130,377,159.3
560503,373,160.7
560883,380,157.9
561253,370,162.2
561627,373,160.7
561993,367,163.6
562363,370,162.2
562740,377,159.3
563127,387,155.2
563510,383,156.5
563897,387,155.2
564290,393,152.5
564693,403,148.8
565093,400,150
565493,400,150
565893,400,150
566293,400,150
566707,413,145.2
567140,433,138.5
567570,430,139.5
568000,430,139.5
568433,433,138.5
568877,443,135.3
569313,437,137.4
569743,430,139.5
570180,437,137.4
570600,420,142.9
571033,433,138.5
571453,420,142.9
571873,420,142.9
572293,420,142.9
572720,427,140.6
573140,420,142.9
573553,413,145.2
573960,407,147.5
574393,433,138.5
574813,420,142.9
575250,437,137.4
575667,417,144
576113,447,134.3
576553,440,136.4
576977,423,141.7
577407,430,139.5
577833,427,140.6
578260,427,140.6
578687,427,140.6
579120,433,138.5
579550,430,139.5
579973,423,141.7
580430,457,131.4
580890,460,130.4
581350,460,130.4
581800,450,133.3
582260,460,130.4
582717,457,131.4
583190,473,126.8
583657,467,128.6
584100,443,135.3
584543,443,135.3
584987,443,135.3
585433,447,134.3
585863,430,139.5
586287,423,141.7
586707,420,142.9
587113,407,147.5
587517,403,148.8
587923,407,147.5
588353,430,139.5
588790,437,137.4
589213,423,141.7
589630,417,144
590030,400,150
590423,393,152.5
590817,393,152.5
591233,417,144
591657,423,141.7
592103,447,134.3
592563,460,130.4
593030,467,128.6
593497,467,128.6
593960,463,129.5
594400,440,136.4
594847,447,134.3
595283,437,137.4
595723,440,136.4
596150,427,140.6
596573,423,141.7
596997,423,141.7
597410,413,145.2
597840,430,139.5
598260,420,142.9
598693,433,138.5
599127,433,138.5
599547,420,142.9
599987,440,136.4
600417,430,139.5
600847,430,139.5
601280,433,138.5
601717,437,137.4
602157,440,136.4
602610,453,132.4
603043,433,138.5
603493,450,133.3
603923,430,139.5
604367,443,135.3
604800,433,138.5
605233,433,138.5
605667,433,138.5
606097,430,139.5
606513,417,144
606937,423,141.7
607353,417,144
607777,423,141.7
608203,427,140.6
608617,413,145.2
609030,413,145.2
609457,427,140.6
609887,430,139.5
610313,427,140.6
610750,437,137.4
611180,430,139.5
611637,457,131.4
612073,437,137.4
612530,457,131.4
612977,447,134.3
613413,437,137.4
613857,443,135.3
614293,437,137.4
614740,447,134.3
615173,433,138.5
615617,443,135.3
616063,447,134.3
616497,433,138.5
616940,443,135.3
617380,440,136.4
617807,427,140.6
618237,430,139.5
618680,443,135.3
619120,440,136.4
619537,417,144
619980,443,135.3
620403,423,141.7
620837,433,138.5
621277,440,136.4
621703,427,140.6
622143,440,136.4
622580,437,137.4
623027,447,134.3
623463,437,137.4
623887,423,141.7
624320,433,138.5
624753,433,138.5
625170,417,144
625577,407,147.5
625980,403,148.8
626383,403,148.8
626790,407,147.5
627197,407,147.5
627613,417,144
628023,410,146.3
628437,413,145.2
628863,427,140.6
629300,437,137.4
629737,437,137.4
630163,427,140.6
630597,433,138.5
631013,417,144
631443,430,139.5
631887,443,135.3
632310,423,141.7
632760,450,133.3
633190,430,139.5
633637,447,134.3
634063,427,140.6
634500,437,137.4
634927,427,140.6
635353,427,140.6
635767,413,145.2
636187,420,142.9
636633,447,134.3
637097,463,129.5
637543,447,134.3
637990,447,134.3
638443,453,132.4
638877,433,138.5
639320,443,135.3
639780,460,130.4
640220,440,136.4
640660,440,136.4
641100,440,136.4
641533,433,138.5
641977,443,135.3
642400,423,141.7
642827,427,140.6
643257,430,139.5
643687,430,139.5
644137,450,133.3
644570,433,138.5
645007,437,137.4
645430,423,141.7
645850,420,142.9
646277,427,140.6
646697,420,142.9
647130,433,138.5
647563,433,138.5
647983,420,142.9
648397,413,145.2
648803,407,147.5
649220,417,144
649657,437,137.4
650080,423,141.7
650513,433,138.5
650940,427,140.6
651380,440,136.4
651823,443,135.3
652260,437,137.4
652710,450,133.3
653153,443,135.3
653590,437,137.4
654043,453,132.4
654490,447,134.3
654940,450,133.3
655373,433,138.5
655810,437,137.4
656240,430,139.5
656680,440,136.4
657140,460,130.4
657583,443,135.3
658023,440,136.4
658453,430,139.5
658903,450,133.3
659337,433,138.5
659783,447,134.3
660213,430,139.5
660637,423,141.7
661073,437,137.4
661500,427,140.6
661930,430,139.5
662363,433,138.5
662807,443,135.3
663260,453,132.4
663707,447,134.3
664143,437,137.4
664580,437,137.4
665010,430,139.5
665430,420,142.9
665853,423,141.7
666280,427,140.6
666690,410,146.3
667100,410,146.3
667507,407,147.5
667920,413,145.2
668337,417,144
668743,407,147.5
669147,403,148.8
669557,410,146.3
669980,423,141.7
670390,410,146.3
670807,417,144
671207,400,150
671603,397,151.3
672000,397,151.3
